,name,sex,age,is_adult,job,class_dept,is_passenger,joined,boat_body,ticketprice,survived
0,"ABBING, Mr Anthony",male,41.0,True,Blacksmith,3rd Class Passenger,True,Southampton,,7.55,False
1,"ABBOTT, Mrs Rhoda Mary 'Rosa'",female,39.0,True,,3rd Class Passenger,True,Southampton,A,20.25,True
2,"ABBOTT, Mr Ernest Owen",male,21.0,True,Lounge Pantry Steward,Victualling Crew,False,Southampton,,0.0,False
3,"ABBOTT, Mr Eugene Joseph",male,13.0,False,Scholar,3rd Class Passenger,True,Southampton,,20.25,False
4,"ABBOTT, Mr Rossmore Edward",male,16.0,False,Jeweller,3rd Class Passenger,True,Southampton,[190],20.25,False
5,"ABELSETH, Miss Karen Marie",female,16.0,False,,3rd Class Passenger,True,Southampton,16,7.65,True
6,"ABELSETH, Mr Olaus Jørgensen",male,25.0,True,Farmer,3rd Class Passenger,True,Southampton,A,7.65,True
7,"ABELSON, Mrs Anna",female,24.0,True,,2nd Class Passenger,True,Cherbourg,10,24.0,True
8,"ABELSON, Mr Samuel",male,30.0,True,,2nd Class Passenger,True,Cherbourg,,24.0,False
9,"ABRAHAMSSON, Mr August Abraham Johannes",male,19.0,True,,3rd Class Passenger,True,Southampton,15,7.925000000000001,True
10,"ABRAMS, Mr William Thomas",male,34.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
11,"ABĪ SA'B, Mrs Sha'nīnah",female,38.0,True,,3rd Class Passenger,True,Cherbourg,C,7.229166666666667,True
12,"ABĪ SA'B, Mr Jirjis Yūsuf",male,45.0,True,Shoemaker,3rd Class Passenger,True,Cherbourg,[312],7.2250000000000005,False
13,"ABĪ SHADĪD, Mr Dāhir",male,19.0,True,,3rd Class Passenger,True,Cherbourg,[9],7.2250000000000005,False
14,"ABĪ-AL-MUNÀ, Mr Nāsīf Qāsim",male,27.0,True,,3rd Class Passenger,True,Cherbourg,15,18.7875,True
15,"ADAMS, Mr John",male,26.0,True,,3rd Class Passenger,True,Southampton,[103],8.05,False
16,"ADAMS, Mr Robert John",male,26.0,True,Fireman,Engineering Crew,False,Southampton,,0.0,False
17,"AHIER, Mr Percy Snowden",male,20.0,True,Saloon Steward,Victualling Crew,False,Southampton,,0.0,False
18,"AHLIN, Mrs Johanna Persdotter",female,40.0,True,,3rd Class Passenger,True,Southampton,,9.475,False
19,"AHMED, Mr Ali",male,24.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.05,False
20,"AKERMAN, Mr Albert Edward",male,31.0,True,3rd Class Steward,Victualling Crew,False,Southampton,,0.0,False
21,"AKERMAN, Mr Joseph Francis",male,37.0,True,Assistant Pantryman Steward,Victualling Crew,False,Southampton,[205],0.0,False
22,"AKS, Master Philip",male,0.8333333333333334,False,,3rd Class Passenger,True,Southampton,11,9.35,True
23,"AKS, Mrs Leah",female,21.0,True,,3rd Class Passenger,True,Southampton,13,9.35,True
24,"AL-BA'QLĪNĪ, Miss Hilānah",female,0.75,False,,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
25,"AL-BA'QLĪNĪ, Miss Mārīyā",female,5.0,False,,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
26,"AL-BA'QLĪNĪ, Miss Ūwjīnīyā",female,3.0,False,,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
27,"AL-BA'QLĪNĪ, Mrs Laṭīfah",female,23.0,True,,3rd Class Passenger,True,Cherbourg,C,19.258333333333333,True
28,"AL-MUNÀ, Mr Farīd Husayn Qāsim",male,19.0,True,Farmer,3rd Class Passenger,True,Cherbourg,,7.229166666666667,False
29,"AL-ZA'INNĪ, Mr Fahīm Rūḥānā",male,25.0,True,General Labourer,3rd Class Passenger,True,Cherbourg,6,7.2250000000000005,True
30,"ALDWORTH, Mr Augustus Henry",male,35.0,True,Chauffeur,2nd Class Passenger,True,Southampton,,13.0,False
31,"ALEXANDER, Mr William Albert",male,24.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.887499999999999,False
32,"ALHOMÄKI, Mr Ilmari Rudolf",male,19.0,True,General Labourer,3rd Class Passenger,True,Southampton,,7.925000000000001,False
33,"ALI, Mr William",male,25.0,True,General Labourer,3rd Class Passenger,True,Southampton,[79],7.05,False
34,"ALLARIA, Sig. Battista Antonio",male,22.0,True,Assistant Waiter,Restaurant Staff,False,Southampton,[221],0.0,False
35,"ALLEN, Miss Elisabeth Walton",female,29.0,True,,1st Class Passenger,True,Southampton,2,214.0375,True
36,"ALLEN, Mr Ernest Frederick",male,24.0,True,Trimmer,Engineering Crew,False,Southampton,B,0.0,True
37,"ALLEN, Mr George",male,26.0,True,Scullion,Victualling Crew,False,Southampton,,0.0,False
38,"ALLEN, Mr Henry",male,30.0,True,Fireman,Engineering Crew,False,Southampton,[145],0.0,False
39,"ALLEN, Mr Robert Spencer",male,35.0,True,Bedroom Steward (1st Class),Victualling Crew,False,Southampton,,0.0,False
40,"ALLEN, Mr William Henry",male,39.0,True,Tool Maker,3rd Class Passenger,True,Southampton,,8.05,False
41,"ALLISON, Master Hudson Trevor",male,0.9166666666666666,False,,1st Class Passenger,True,Southampton,11,151.8,True
42,"ALLISON, Miss Helen Loraine",female,2.0,False,,1st Class Passenger,True,Southampton,,151.8,False
43,"ALLISON, Mrs Bess Waldo",female,25.0,True,,1st Class Passenger,True,Southampton,,151.8,False
44,"ALLISON, Mr Hudson Joshua Creighton",male,30.0,True,Businessman,1st Class Passenger,True,Southampton,[135],151.8,False
45,"ALLSOP, Mr Alfred Samuel",male,36.0,True,2nd Electrician,Engineering Crew,False,Belfast,,0.0,False
46,"ALLSOP, Mr Frank Richard",male,43.0,True,Saloon Steward,Victualling Crew,False,Belfast,,0.0,False
47,"ALLUM, Mr Owen George",male,17.0,False,Gardener,3rd Class Passenger,True,Southampton,[259],8.3,False
48,"ANDERSEN, Mr Albert Kaurin",male,33.0,True,Engineer,3rd Class Passenger,True,Southampton,[260],22.525,False
49,"ANDERSEN-JENSEN, Miss Carla Christine Nielsine",female,19.0,True,,3rd Class Passenger,True,Southampton,16,7.854166666666666,True
50,"ANDERSON, Mr Henry",male,42.0,True,Stockbroker,1st Class Passenger,True,Southampton,3,26.55,True
51,"ANDERSON, Mr John",male,42.0,True,Able Seaman,Deck Crew,False,Southampton,3,0.0,True
52,"ANDERSON, Mr Walter Yuill",male,50.0,True,Bed Room Steward,Victualling Crew,False,Southampton,[146],0.0,False
53,"ANDERSSON, MasterSigvard Harald Elias",male,4.0,False,,3rd Class Passenger,True,Southampton,,31.275,False
54,"ANDERSSON, MissIngeborg Constanzia",female,9.0,False,,3rd Class Passenger,True,Southampton,,31.275,False
55,"ANDERSSON, Miss Ebba Iris Alfrida",female,6.0,False,,3rd Class Passenger,True,Southampton,,31.275,False
56,"ANDERSSON, Miss Ellis Anna Maria",female,2.0,False,,3rd Class Passenger,True,Southampton,,31.275,False
